Rank,Release Group,Worldwide,Domestic,%,Foreign
1,Avengers: Endgame,"$2,797,501,328","$858,373,000",69.3%,"$1,939,128,328"
2,The Lion King,"$1,656,943,394","$543,638,043",67.2%,"$1,113,305,351"
3,Frozen II,"$1,450,026,933","$477,373,578",67.1%,"$972,653,355"
4,Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",65.5%,"$741,395,911"
5,Captain Marvel,"$1,128,274,794","$426,829,839",62.2%,"$701,444,955"
6,Joker,"$1,074,251,311","$335,451,311",68.8%,"$738,800,000"
7,Star Wars: Episode IX - The Rise of Skywalker,"$1,074,144,248","$515,202,542",52%,"$558,941,706"
8,Toy Story 4,"$1,073,394,593","$434,038,008",59.6%,"$639,356,585"
9,Aladdin,"$1,050,693,953","$355,559,216",66.2%,"$695,134,737"
10,Jumanji: The Next Level,"$800,059,707","$320,314,960",60%,"$479,744,747"
11,Fast & Furious Presents: Hobbs & Shaw,"$759,056,935","$173,956,935",77.1%,"$585,100,000"
12,Ne Zha,"$726,063,471","$3,695,533",99.5%,"$722,367,938"
13,The Wandering Earth,"$699,856,699","$5,971,413",99.1%,"$693,885,286"
14,How to Train Your Dragon: The Hidden World,"$521,799,505","$160,799,505",69.2%,"$361,000,000"
15,Maleficent: Mistress of Evil,"$491,730,089","$113,929,605",76.8%,"$377,800,484"
16,It Chapter Two,"$473,093,228","$211,593,228",55.3%,"$261,500,000"
17,"My People, My Country","$450,064,993","$2,356,683",99.5%,"$447,708,310"
18,Pokémon Detective Pikachu,"$433,005,346","$144,105,346",66.7%,"$288,900,000"
19,The Secret Life of Pets 2,"$430,051,293","$158,874,395",63.1%,"$271,176,898"
20,The Captain,"$417,282,021","$706,572",99.8%,"$416,575,449"
21,Alita: Battle Angel,"$404,980,543","$85,838,210",78.8%,"$319,142,333"
22,Godzilla: King of the Monsters,"$386,600,138","$110,500,138",71.4%,"$276,100,000"
23,1917,"$384,979,149","$159,227,644",58.6%,"$225,751,505"
24,Once Upon a Time... In Hollywood,"$374,375,059","$142,502,728",61.9%,"$231,872,331"
25,Shazam!,"$365,971,656","$140,371,656",61.6%,"$225,600,000"
26,Dumbo,"$353,284,621","$114,766,307",67.5%,"$238,518,314"
27,Crazy Alien,"$327,598,891",-,100%,"$327,598,891"
28,John Wick: Chapter 3 - Parabellum,"$326,709,727","$171,015,687",47.7%,"$155,694,040"
29,Knives Out,"$311,605,581","$165,363,234",46.9%,"$146,242,347"
30,Terminator: Dark Fate,"$261,119,292","$62,253,077",76.2%,"$198,866,215"
31,Parasite,"$258,632,621","$53,369,749",79.4%,"$205,262,872"
32,Pegasus,"$255,863,112",-,100%,"$255,863,112"
33,Us,"$255,184,580","$175,084,580",31.4%,"$80,100,000"
34,Men in Black: International,"$253,890,701","$80,001,807",68.5%,"$173,888,894"
35,X-Men: Dark Phoenix,"$252,442,974","$65,845,974",73.9%,"$186,597,000"
36,Glass,"$246,999,039","$111,048,468",55%,"$135,950,571"
37,The Bravest,"$245,179,562","$290,217",99.9%,"$244,889,345"
38,Annabelle Comes Home,"$231,252,591","$74,152,591",67.9%,"$157,100,000"
39,Better Days,"$225,918,798","$1,921,657",99.1%,"$223,997,141"
40,Ford v Ferrari,"$225,508,210","$117,624,357",47.8%,"$107,883,853"
41,Little Women,"$216,601,214","$108,101,214",50.1%,"$108,500,000"
42,The Addams Family,"$203,044,905","$100,044,905",50.7%,"$103,000,000"
43,Rocketman,"$195,320,400","$96,368,160",50.7%,"$98,952,240"
44,Weathering with You,"$193,932,489","$8,056,636",95.8%,"$185,875,853"
45,Downton Abbey,"$193,820,755","$96,854,135",50%,"$96,966,620"
46,The Lego Movie 2: The Second Part,"$192,306,508","$105,806,508",45%,"$86,500,000"
47,Sheep Without a Shepherd,"$191,602,146",-,100%,"$191,602,146"
48,The White Storm 2: Drug Lords,"$189,396,380","$609,461",99.7%,"$188,786,919"
49,Abominable,"$179,053,956","$60,716,390",66.1%,"$118,337,566"
50,Ip Man 4: The Finale,"$176,345,966","$3,956,031",97.8%,"$172,389,935"
51,Gemini Man,"$173,469,516","$48,546,770",72%,"$124,922,746"
52,Spies in Disguise,"$171,616,764","$66,757,013",61.1%,"$104,859,751"
53,Hustlers,"$157,563,598","$104,963,598",33.4%,"$52,600,000"
54,The Climbers,"$156,892,866","$487,157",99.7%,"$156,405,709"
55,Escape Room,"$155,712,077","$57,005,601",63.4%,"$98,706,476"
56,Yesterday,"$154,608,507","$73,286,650",52.6%,"$81,321,857"
