adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
FALSE,,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,684428,tt0371396,en,The Matrix: What Is Bullet-Time?,"Special Effects wizard John Gaeta demonstrates how the ""Bullet-Time"" effects were created for the film Matrix, The (1999).",6.694,/hSTervHaROcTd8Ir3DPfepN80dL.jpg,[],[],9/21/1999,0,6,[],Released,,The Matrix: What Is Bullet-Time?,FALSE,4,2
FALSE,,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,684431,tt0365467,en,Making 'The Matrix',"A promotional making-of documentary for the film Matrix, The (1999) that devotes its time to explaining the digital and practical effects contained in the film. This is very interesting, seeing as how they're giving away the cinematic secrets that they created solely for the this movie, that have now been spoofed and referenced in countless other films.",1.4,/m2yIfRJYwpCgHON1Ig1pNKMWTxp.jpg,[],[],9/21/1999,0,26,[],Released,,Making 'The Matrix',FALSE,6.8,5
FALSE,,,0,[],,344225,tt0274085,en,Sex and the Matrix,"A spoof created for the 2000 MTV Movie Awards, combining The Matrix and ""Sex in the City"".",0.6,,[],[],1/1/2000,0,6,[],Released,,Sex and the Matrix,FALSE,6.7,3
FALSE,/5nxDn3mrdmeUHJOZi1Wfqya8Vji.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",https://www.aglitchinthematrixfilm.com/,696109,tt9847360,en,A Glitch in the Matrix,"Are we in fact living in a simulation? This is the question postulated, wrestled with, and ultimately argued for through archival footage, compelling interviews with real people shrouded in digital avatars, and a collection of cases from some of our most iconoclastic figures in contemporary culture.",5.506,/bn0BLVadmvzq6MmJ0n97MLxGpNQ.jpg,"[{'id': 55570, 'logo_path': '/8H1Dfk512aqblcpOKYzygW85HBc.png', 'name': 'Campfire', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/5/2021,0,108,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,True stories / False realities,A Glitch in the Matrix,FALSE,5.3,18
FALSE,,,0,"[{'id': 99, 'name': 'Documentary'}]",,274866,,en,The Roots of the Matrix,"Disc 8 of 10 of 'The Matrix: Ultimate Edition': Probe the philosophical and technological inspirations of The Matrix Trilogy through two insightful documentaries:  - Return to Source: Philosophy &amp; The Matrix documentary – Scholars, philosophers and theorists deconstruct the intellectual underpinnings of the trilogy  - The Hard Problem: The Science Behind the Fiction documentary – Is the notion of a real Matrix plausible? An investigation of the technologies that inspire the metaphor of the Matrix.",2.175,/qmOtnpPihV3Wj6ukpiNIgzo4Ax7.jpg,[],[],12/7/2004,0,190,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Roots of the Matrix,FALSE,7.5,2
FALSE,,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 878, 'name': 'Science Fiction'}]",,221495,tt0410519,en,The Matrix Recalibrated,"The making of Matrix Revolutions, The (2003) is briefly touched on here in this documentary. Interviews with various cast and crew members inform us how they were affected by the deaths of Gloria Foster and Aaliyah, and also delve into the making of the visual effects that takes up a lot of screen time. Written by Rhyl Donnelly",10.094,/gRni1Q651AZPnLqZczmahiIxG0s.jpg,"[{'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/6/2004,0,27,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Matrix Recalibrated,TRUE,6.6,33
FALSE,,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,684729,tt5319982,en,The Matrix Reloaded: Car Chase,"This thirty-minute documentary follows the Wachowski brothers and the film's crew through production on the film's famed highway chase sequence. We get interviews with the visual effects supervisors, the stunt coordinators and even are taken through aspects of pre-production and planning for the scene. Then the documentary moves into production, the scariest aspect of which is certainly Carrie Anne-Moss trying to learn to ride a motorcycle good enough to do so safely without helmet for the scene. We also watch as the stretch of freeway used in the film is being built.",2.23,/zkpzfTyF7BjadH1PZKlC6kueWXf.jpg,[],[],12/7/2004,0,30,[],Released,,The Matrix Reloaded: Car Chase,FALSE,6,4
FALSE,,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,684731,tt5319604,en,The Matrix Reloaded: Pre-Load,"This making-of piece offers the standard mix of movie snippets, behind the scenes materials, and interviews from cast and crew on the making of the film.",6.326,/zkpzfTyF7BjadH1PZKlC6kueWXf.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/14/2003,0,22,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Matrix Reloaded: Pre-Load,FALSE,6.3,12
FALSE,,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,684735,tt0391319,en,Making 'Enter the Matrix',"A look at Enter the Matrix: The game's story picks up just before The Matrix Reloaded and runs parallel to that of the film. Bend the rules of the Matrix with martial arts, pilot the fastest hovercraft in the fleet, or just fight with lots of guns.",6.066,/645ZsitYflnN1tlNpllSvDQXoQ0.jpg,[],[],10/14/2003,0,28,[],Released,,Making 'Enter the Matrix',FALSE,4.3,3
FALSE,,,0,"[{'id': 99, 'name': 'Documentary'}]",,503880,tt1830851,en,The Matrix Revolutions Revisited,"The making of The Matrix Revolutions: The cataclysmic final confrontation chronicled through six documentary pods revealing 28 featurettes",4.87,/61ASnmqvzpuz9VEfFElo3e2nIft.jpg,[],[],12/7/2004,0,0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Matrix Revolutions Revisited,FALSE,7.8,11
